topic,hour,count
0,2,3
0,5,1
0,6,2
0,7,11
0,8,32
0,9,17
0,10,25
0,11,32
0,12,48
0,13,23
0,14,32
0,15,38
0,16,8
0,24,4
1,0,133
1,1,75
1,2,90
1,3,58
1,4,69
1,5,167
1,6,620
1,7,941
1,8,1616
1,9,1577
1,10,1140
1,11,1065
1,12,1054
1,13,1298
1,14,971
1,15,1125
1,16,1230
1,17,1689
1,18,1989
1,19,1671
1,20,704
1,21,77
1,22,26
1,23,11
1,24,1372
2,0,28
2,1,29
2,2,18
2,3,11
2,4,27
2,5,26
2,6,88
2,7,179
2,8,319
2,9,934
2,10,1781
2,11,1359
2,12,1480
2,13,1219
2,14,1515
2,15,1779
2,16,1504
2,17,1539
2,18,1478
2,19,592
2,20,1
2,24,692
3,0,1
3,1,2
3,4,15
3,5,2
3,6,6
3,7,57
3,8,35
3,9,33
3,10,102
3,11,126
3,12,91
3,13,48
3,14,91
3,15,45
3,16,31
3,17,11
3,18,18
3,19,38
3,20,6
3,21,1
3,24,40
4,7,1
4,8,3
4,12,1
4,13,4
4,14,5
4,15,8
4,16,20
4,17,88
4,19,1
4,24,3
5,3,3
5,6,2
5,7,6
5,8,1
5,9,8
5,11,8
5,12,17
5,13,18
5,18,8
5,20,3
6,2,4
6,5,2
6,8,8
6,9,12
6,10,25
6,11,42
6,12,15
6,13,2
6,14,25
6,15,5
6,17,1
6,24,11
7,2,2
7,5,1
7,6,6
7,8,7
7,9,15
7,10,24
7,11,37
7,12,27
7,13,8
7,14,17
7,15,10
7,18,4
7,24,7
8,0,6
8,1,3
8,2,1
8,3,1
8,4,1
8,6,3
8,7,4
8,8,12
8,9,24
8,10,38
8,11,56
8,12,83
8,13,98
8,14,68
8,15,85
8,16,56
8,17,98
8,18,10
8,19,19
8,20,52
8,21,43
8,22,8
8,24,38
9,7,6
9,8,7
9,9,4
9,10,8
9,11,3
9,12,6
9,13,1
9,14,4
9,15,18
9,16,21
9,17,9
9,19,1
9,24,3
