topic,hour,count
0,8,11
0,9,2
0,10,36
0,11,36
0,12,12
0,13,22
0,14,26
1,0,142
1,1,94
1,2,66
1,3,54
1,4,50
1,5,136
1,6,507
1,7,1204
1,8,1883
1,9,2502
1,10,2296
1,11,1767
1,12,1203
1,13,947
1,14,981
1,15,976
1,16,1499
1,17,2085
1,18,2139
1,19,1545
1,20,672
1,21,234
1,22,76
1,23,5
1,24,1244
2,0,2
2,2,4
2,3,2
2,4,6
2,5,1
2,6,12
2,7,8
2,8,13
2,9,16
2,10,33
2,11,55
2,12,59
2,13,80
2,14,357
2,15,335
2,16,201
2,17,357
2,18,152
2,19,336
2,20,107
2,21,3
2,24,34
3,0,1
3,2,1
3,3,6
3,5,13
3,6,9
3,7,9
3,8,27
3,9,55
3,10,90
3,11,129
3,12,86
3,13,91
3,14,97
3,15,77
3,16,163
3,17,89
3,18,141
3,19,30
3,20,1
3,21,4
3,22,3
3,23,1
3,24,20
4,9,2
4,11,8
4,12,1
4,18,4
4,24,3
5,8,1
5,10,4
5,12,2
6,9,1
6,10,1
6,11,1
6,12,3
6,13,4
6,14,10
6,15,7
6,16,5
6,17,2
6,18,2
6,19,2
6,20,4
7,4,1
7,6,4
7,8,15
7,9,25
7,10,9
7,11,11
7,12,18
7,13,40
7,14,23
7,15,15
7,16,20
7,17,13
7,18,10
7,19,6
7,21,1
7,24,5
8,0,55
8,1,35
8,7,36
8,8,26
8,9,10
8,10,42
8,11,50
8,12,32
8,13,111
8,14,48
8,15,24
8,16,16
8,17,57
8,18,79
8,19,81
8,20,263
8,21,113
8,22,85
8,23,4
8,24,141
9,17,1
10,0,123
10,1,54
10,2,9
10,6,2
10,7,1
10,9,1
10,10,4
10,11,7
10,12,9
10,13,12
10,14,8
10,15,15
10,16,22
10,17,28
10,18,125
10,19,105
10,20,100
10,21,46
10,22,16
10,23,31
10,24,265
