topic,hour,count
0,0,12
0,1,4
0,2,5
0,4,6
0,5,13
0,6,73
0,7,47
0,8,71
0,9,80
0,10,157
0,11,263
0,12,367
0,13,440
0,14,451
0,15,397
0,16,437
0,17,544
0,18,535
0,19,294
0,20,294
0,21,9
0,24,69
1,0,278
1,1,180
1,2,193
1,3,129
1,4,232
1,5,514
1,6,2344
1,7,4322
1,8,5803
1,9,4528
1,10,3085
1,11,2188
1,12,1910
1,13,1652
1,14,1635
1,15,2178
1,16,2959
1,17,4034
1,18,4489
1,19,2818
1,20,964
1,21,298
1,22,72
1,23,20
1,24,2631
2,0,6
2,1,15
2,2,10
2,3,11
2,4,14
2,5,21
2,6,67
2,7,93
2,8,196
2,9,647
2,10,972
2,11,923
2,12,874
2,13,596
2,14,954
2,15,855
2,16,791
2,17,593
2,18,697
2,19,498
2,20,104
2,24,204
3,1,1
3,3,1
3,6,4
3,7,10
3,8,60
3,9,85
3,10,34
3,11,30
3,12,19
3,13,50
3,14,52
3,15,86
3,16,99
3,17,130
3,18,338
3,19,193
3,20,89
3,21,64
3,23,5
3,24,17
4,7,3
4,8,1
4,9,12
4,10,7
4,11,2
4,14,2
4,15,4
4,17,1
4,18,5
5,0,1
5,6,3
5,8,13
5,9,10
5,10,14
5,11,1
5,12,8
5,13,4
5,14,7
5,15,8
5,16,10
5,17,5
5,18,9
5,19,2
5,20,2
5,21,4
5,22,5
6,0,9
6,1,3
6,2,1
6,3,7
6,4,1
6,5,4
6,6,53
6,7,79
6,8,87
6,9,76
6,10,82
6,11,74
6,12,13
6,13,14
6,14,66
6,15,75
6,16,91
6,17,44
6,18,4
6,19,7
6,20,7
6,21,2
6,24,42
7,0,4
7,6,2
7,7,1
7,8,22
7,9,9
7,10,18
7,11,35
7,12,28
7,13,9
7,14,10
7,15,9
7,16,4
7,18,10
7,19,5
7,20,2
7,21,2
7,22,4
7,24,2
8,0,188
8,1,51
8,3,1
8,5,2
8,6,11
8,7,5
8,8,4
8,9,41
8,10,74
8,11,12
8,12,18
8,13,31
8,14,109
8,15,51
8,16,69
8,17,86
8,18,141
8,19,468
8,20,1142
8,21,1066
8,22,706
8,23,306
8,24,315
9,0,7
9,1,4
9,2,3
9,3,1
9,4,6
9,5,11
9,6,18
9,7,31
9,8,92
9,9,258
9,10,296
9,11,210
9,12,304
9,13,340
9,14,44
9,17,1
9,19,15
9,24,47
10,0,131
10,1,77
10,3,3
10,7,4
10,8,1
10,9,8
10,11,5
10,12,4
10,13,8
10,14,19
10,15,17
10,16,47
10,17,64
10,18,370
10,19,821
10,20,556
10,21,571
10,22,239
10,23,197
10,24,422
