topic,hour,count
0,5,3
0,6,1
0,7,1
0,8,15
0,9,11
0,10,18
0,11,36
0,12,42
0,13,28
0,14,14
0,15,34
0,16,11
0,24,8
1,0,81
1,1,33
1,2,37
1,3,42
1,4,42
1,5,88
1,6,475
1,7,616
1,8,712
1,9,451
1,10,410
1,11,431
1,12,544
1,13,263
1,14,358
1,15,398
1,16,577
1,17,912
1,18,1002
1,19,467
1,20,204
1,21,24
1,24,621
2,2,1
2,3,3
2,4,1
2,5,20
2,6,15
2,7,16
2,8,102
2,9,202
2,10,451
2,11,236
2,12,368
2,13,372
2,14,208
2,15,377
2,16,223
2,17,286
2,18,226
2,19,164
2,20,5
2,21,5
2,24,63
3,0,7
3,1,4
3,2,3
3,3,3
3,4,6
3,5,9
3,6,24
3,7,39
3,8,110
3,9,272
3,10,279
3,11,203
3,12,145
3,13,127
3,14,216
3,15,240
3,16,129
3,17,14
3,18,105
3,19,12
3,20,4
3,21,1
3,24,85
4,14,5
5,7,7
5,8,1
5,9,5
5,10,6
5,11,13
5,13,2
5,15,3
5,16,2
5,20,1
6,10,2
6,11,2
6,12,5
6,14,3
6,17,1
6,18,1
7,7,4
7,8,9
7,9,5
7,10,4
7,11,1
7,12,1
7,13,21
7,14,67
7,15,11
7,16,2
7,17,2
7,20,3
7,24,5
8,0,1
8,2,1
8,4,1
8,5,1
8,6,13
8,7,40
8,8,28
8,9,19
8,10,19
8,11,13
8,12,5
8,13,10
8,14,27
8,15,70
8,16,155
8,17,243
8,18,5
8,24,9
9,0,5
9,17,2
10,20,1
