topic,hour,count
0,0,6
0,1,8
0,2,11
0,3,15
0,4,9
0,5,24
0,6,19
0,7,96
0,8,207
0,9,657
0,10,735
0,11,768
0,12,787
0,13,390
0,14,286
0,15,782
0,16,616
0,17,371
0,18,150
0,19,2
0,24,191
1,0,73
1,1,56
1,2,23
1,3,45
1,4,42
1,5,140
1,6,353
1,7,716
1,8,1127
1,9,1363
1,10,1326
1,11,1005
1,12,723
1,13,891
1,14,1157
1,15,1101
1,16,1331
1,17,1592
1,18,1003
1,19,416
1,20,145
1,21,67
1,22,31
1,23,17
1,24,984
2,10,2
2,13,1
2,14,3
2,15,4
2,17,2
2,21,1
3,4,1
3,5,6
3,6,15
3,7,14
3,8,18
3,9,42
3,10,65
3,11,18
3,12,7
3,13,23
3,14,69
3,15,178
3,16,103
3,17,94
3,18,35
3,19,55
3,20,2
3,24,15
4,2,1
4,3,4
4,5,2
4,8,3
4,9,2
4,10,16
4,12,4
4,14,6
4,17,1
5,0,3
5,1,1
5,3,3
5,5,2
5,7,5
5,8,6
5,9,14
5,10,22
5,11,4
5,12,16
5,13,1
5,24,6
6,14,4
6,15,1
6,16,2
6,17,4
6,18,3
6,19,5
6,20,2
6,22,1
6,24,2
7,11,1
7,12,2
7,13,1
7,17,1
7,20,4
7,21,2
7,24,4
8,0,23
8,1,7
8,7,4
8,8,1
8,9,20
8,10,1
8,11,12
8,12,18
8,13,24
8,14,20
8,15,17
8,16,15
8,17,24
8,18,71
8,19,109
8,20,60
8,21,68
8,22,44
8,23,20
8,24,27
9,8,2
9,18,1
9,19,1
10,0,158
10,1,65
10,2,3
10,7,4
10,8,1
10,9,11
10,10,1
10,11,1
10,12,12
10,13,8
10,14,12
10,15,21
10,16,25
10,17,60
10,18,303
10,19,358
10,20,182
10,21,174
10,22,126
10,23,6
10,24,254
