topic,hour,count
0,0,4
0,1,8
0,2,4
0,4,3
0,5,14
0,6,26
0,7,57
0,8,127
0,9,329
0,10,643
0,11,355
0,12,337
0,13,460
0,14,380
0,15,194
0,16,182
0,17,240
0,18,186
0,24,98
1,0,306
1,1,134
1,2,163
1,3,161
1,4,169
1,5,501
1,6,1884
1,7,3831
1,8,4931
1,9,3613
1,10,2938
1,11,2589
1,12,1903
1,13,1736
1,14,1373
1,15,1792
1,16,2589
1,17,3939
1,18,3963
1,19,2419
1,20,1043
1,21,280
1,22,106
1,23,27
1,24,2853
2,0,23
2,1,10
2,2,10
2,3,23
2,4,9
2,5,30
2,6,113
2,7,157
2,8,290
2,9,843
2,10,1158
2,11,1206
2,12,873
2,13,583
2,14,975
2,15,1168
2,16,782
2,17,1036
2,18,952
2,19,518
2,22,5
2,24,303
3,0,4
3,1,4
3,2,2
3,3,7
3,4,8
3,5,11
3,6,29
3,7,32
3,8,72
3,9,192
3,10,267
3,11,231
3,12,260
3,13,205
3,14,149
3,15,138
3,16,76
3,17,31
3,18,38
3,19,1
3,20,1
3,24,130
4,7,1
4,8,4
4,12,1
4,15,3
4,17,1
4,24,1
5,0,1
5,6,1
5,7,5
5,8,8
5,9,9
5,10,21
5,11,45
5,12,38
5,13,8
5,14,3
5,15,14
5,16,5
5,17,20
5,18,28
5,19,5
5,20,4
5,24,9
6,3,3
6,5,10
6,6,13
6,7,42
6,8,137
6,9,74
6,10,85
6,12,2
6,13,3
6,14,2
6,15,35
6,16,46
6,17,75
6,18,59
6,19,18
6,24,24
7,6,7
7,7,10
7,11,4
7,14,22
7,17,1
8,0,369
8,1,168
8,2,1
8,3,1
8,5,6
8,6,11
8,7,35
8,8,29
8,9,15
8,10,4
8,11,1
8,12,2
8,13,4
8,14,6
8,15,6
8,16,9
8,17,27
8,18,60
8,19,186
8,20,332
8,21,277
8,22,179
8,23,49
8,24,696
9,0,2
9,1,1
9,2,7
9,3,1
9,4,3
9,5,3
9,6,19
9,7,42
9,8,79
9,9,116
9,10,345
9,11,252
9,12,341
9,13,230
9,14,65
9,15,12
9,16,5
9,17,3
9,18,4
9,21,1
9,24,79
10,0,164
10,1,98
10,9,4
10,24,370
