topic,hour,count
0,0,4
0,8,1
0,9,6
0,10,6
0,11,20
0,12,4
0,13,13
0,14,22
0,15,13
0,16,10
0,17,2
0,18,2
0,19,3
0,20,2
0,22,2
0,24,1
1,0,43
1,1,34
1,2,31
1,3,30
1,4,35
1,5,84
1,6,229
1,7,518
1,8,343
1,9,512
1,10,548
1,11,376
1,12,356
1,13,327
1,14,178
1,15,274
1,16,563
1,17,984
1,18,774
1,19,505
1,20,223
1,21,5
1,22,13
1,23,13
1,24,436
2,0,13
2,1,11
2,2,19
2,3,3
2,4,4
2,5,20
2,6,42
2,7,77
2,8,150
2,9,304
2,10,550
2,11,414
2,12,618
2,13,542
2,14,409
2,15,350
2,16,270
2,17,261
2,18,410
2,19,96
2,20,2
2,24,104
3,0,13
3,1,6
3,2,6
3,4,4
3,5,5
3,6,16
3,7,30
3,8,74
3,9,126
3,10,154
3,11,90
3,12,30
3,13,69
3,14,198
3,15,254
3,16,138
3,17,71
3,18,158
3,19,65
3,20,29
3,24,56
4,15,2
5,9,5
5,11,1
5,12,3
5,13,2
5,14,3
5,16,2
5,17,2
5,18,2
5,19,3
6,9,1
6,10,1
6,13,1
6,14,2
6,15,1
6,18,2
6,20,4
7,9,3
7,10,5
7,11,6
7,12,9
7,13,4
7,14,2
7,15,4
7,16,11
7,17,5
7,18,1
7,19,9
7,20,19
8,7,2
8,8,5
8,10,1
8,11,16
8,12,58
8,13,1
8,14,1
8,16,13
8,17,5
8,18,2
8,19,13
8,20,37
8,24,4
9,15,5
9,18,1
